nome_oficial,nome_estadio,imagem,id_estadio,local,uf_estadio,capacidade
Estádio Doutor Jayme Cintra,Jayme Cintra,https://s2-ge.glbimg.com/fiPpw85K-6wPwnDmtboCPG3cZyA=/0x0:1600x900/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2019/b/E/xjJ5qVROKVvI9QqxqXrQ/48424445-2177189525652606-7025875363003629568-o.jpg,jaymecintra-sp,Jundiaí - SP,SP,15.000
Estádio Municipal Doutor José Lancha Filho,Lanchão,https://www3.franca.sp.gov.br/images/20251231095818_upload.jpg,lanchao-sp,Franca - SP,SP,14.686
Estádio Major José Levy Sobrinho,Limeirão,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/29/92/b3/limeirao.jpg?w=1200&h=1200&s=1,limeirao-sp,Limeira - SP,SP,18.000
Estádio Municipal José Maria de Campos Maia,Maião,https://upload.wikimedia.org/wikipedia/commons/8/8f/Cruzeiro-cruzeiro-mirassol-est%C3%A1dio_campos_maia-1755195575.png?utm_source=pt.wikipedia.org&utm_campaign=index&utm_content=original,josemariadecamposmaia-sp,Mirassol - SP,SP,15.000
Estádio Municipal Maria Tereza Breda,Maria Tereza Breda,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdHn1SqrO4UdMnzXIAeRdMuFJHLCqj--ohkinLmLa3wYAcYBJ3XUDUXw_F&s=10,mariaterezabreda-sp,Olímpia - SP,SP,15.022
Estádio Municipal Martins Pereira,Martins Pereira,https://saojoseec.com.br/wp-content/uploads/2025/03/estadio-municipal-doutor-mario-martins-pereira-sp-t-941w.jpg,martinspereira-sp,São José dos Campos - SP,SP,16.500
Estádio Moisés Lucarelli,Moisés Lucarelli,https://s2-ge.glbimg.com/iIJ1hozng2Pn_QqDg0YZYDS4H70=/1280x0/filters:format(jpeg)/https://i.s3.glbimg.com/v1/AUTH_bc8228b6673f488aa253bbcb03c80ec5/internal_photos/bs/2025/Y/T/kSu8eKTIaFWa9RrFaA1Q/whatsapp-image-2025-11-05-at-09.41.32-1-.jpeg,moiseslucarelli-sp,Campinas - SP,SP,17.728
Estádio Cícero Pompeu de Toledo,Morumbi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFSyRHtaIzQNPTMuuSILGWgPc7WltPxGUSaiA4gDpD6Q&s=10,morumbi-sp,São Paulo - SP,SP,72.039
Estádio Nabi Abi Chedid,Nabi Abi Chedid,https://img.nsctotal.com.br/wp-content/uploads/2025/12/Nabi-Abi-Chedid.jpg,nabiabichedid-sp,Bragança Paulista - SP,SP,15.010
Estádio Novelli Júnior,Novelli Júnior,https://upload.wikimedia.org/wikipedia/commons/2/24/Est%C3%A1dioNovelliJ%C3%BAnior.jpg?utm_source=pt.wikipedia.org&utm_campaign=index&utm_content=original,novellijunior-sp,Itu - SP,SP,15.600
